start_time	stop_time	num_calls
05:00 AM	05:30 AM	14
05:30 AM	06:00 AM	21
06:00 AM	06:30 AM	43
06:30 AM	07:00 AM	57
07:00 AM	07:30 AM	70
07:30 AM	08:00 AM	84
08:00 AM	08:30 AM	95
08:30 AM	09:00 AM	101
09:00 AM	09:30 AM	104
09:30 AM	10:00 AM	110
10:00 AM	10:30 AM	113
10:30 AM	11:00 AM	113
11:00 AM	11:30 AM	115
11:30 AM	12:00 PM	112
12:00 PM	12:30 PM	114
12:30 PM	01:00 PM	112
01:00 PM	01:30 PM	113
01:30 PM	02:00 PM	115
02:00 PM	02:30 PM	109
02:30 PM	03:00 PM	106
03:00 PM	03:30 PM	97
03:30 PM	04:00 PM	87
04:00 PM	04:30 PM	75
04:30 PM	05:00 PM	68
05:00 PM	05:30 PM	52
05:30 PM	06:00 PM	43
06:00 PM	06:30 PM	31
06:30 PM	07:00 PM	23
07:00 PM	07:30 PM	17
07:30 PM	08:00 PM	12
08:00 PM	08:30 PM	9
08:30 PM	09:00 PM	7
09:00 PM	09:30 PM	4
09:30 PM	10:00 PM	3
10:00 PM	10:30 PM	1
